State/UT,Facility Type,Total No. of Facilities #,No. of facilities reporting nil performance *,Performance - Overall Average **,Performance - Maximum,Performance - Minimum,No. of facilities by performance - 1 to 100,No. of facilities by performance - 101 to 500,No. of facilities by performance - 501 to 1000,No. of facilities by performance - >1000
Jharkhand Total distt - 24 Districts reporting facility wise - 24,SC,3846,3832,89.5,306,4,8,6,0,0
Karnataka Total distt - 30 Districts reporting facility wise - 30,DH,26,11,1192.5,2481,243,0,3,5,7
Karnataka Total distt - 30 Districts reporting facility wise - 30,SDH,149,43,1057.9,10590,8,3,40,30,33
Karnataka Total distt - 30 Districts reporting facility wise - 30,CHC,208,132,696.9,2400,7,4,31,24,17
Karnataka Total distt - 30 Districts reporting facility wise - 30,PHC,2536,2139,383.5,2500,2,63,233,79,22
Karnataka Total distt - 30 Districts reporting facility wise - 30,SC,9433,9386,69,413,1,40,7,0,0
Kerala Total distt - 14 Districts reporting facility wise - 14,DH,47,46,2666,2666,2666,0,0,0,1
Kerala Total distt - 14 Districts reporting facility wise - 14,PHC,936,932,1026.3,3896,2,2,1,0,1
Kerala Total distt - 14 Districts reporting facility wise - 14,SC,5833,5817,65.8,197,1,11,5,0,0
Lakshadweep Total distt - 1 Districts reporting facility wise - 1,DH,1,0,2813,2813,2813,0,0,0,1
Lakshadweep Total distt - 1 Districts reporting facility wise - 1,SDH,2,1,1348,1348,1348,0,0,0,1
Lakshadweep Total distt - 1 Districts reporting facility wise - 1,CHC,3,1,742.5,1185,300,0,1,0,1
Lakshadweep Total distt - 1 Districts reporting facility wise - 1,PHC,4,0,346.3,779,1,1,2,1,0
Madhya Pradesh Total distt - 51 Districts reporting facility wise - 51,DH,51,8,1016.4,5370,119,0,12,16,15
Madhya Pradesh Total distt - 51 Districts reporting facility wise - 51,SDH,66,55,729.5,1326,15,1,2,5,3
Madhya Pradesh Total distt - 51 Districts reporting facility wise - 51,CHC,324,237,786.8,6508,36,4,30,36,17
Madhya Pradesh Total distt - 51 Districts reporting facility wise - 51,PHC,1313,1037,452,3989,8,15,171,74,16
